tokenID,name,description,file_name,           attributes[color scheme],attributes[Energy Source],attributes[Element],attributes[Form],attributes[Mood],attributes[Theme],attributes[Movement],Image CID on Pinata,Json Files CID on Pinata
6,Artistic-Auras #6,"""An abstract representation of cosmic birth, capturing the dynamic eruption of energy and life. A fiery orb at the center radiates explosive forces, sending waves of energy into space, intertwined with branching tendrils that evoke organic growth. The swirling colors of red, yellow, and orange dominate the composition, symbolizing the intense power of creation, while distant celestial orbs highlight the vast, interconnected nature of the universe. The piece evokes both chaos and harmony, illustrating the cycle of destruction and creation.""",6.png,"Red, Yellow, Orange, Black, Blue",Fiery Orb,Cosmic Tendrils,Organic Energy Flow,"Fiery, Explosive, Creation","Cosmic Birth, Energy, Creation",Abstract Expressionism,https://gateway.pinata.cloud/ipfs/QmWK6YNnU7DzY12vAXMZ8QFCjNHfkAzkedmgmfDa8qDkjP,https://gateway.pinata.cloud/ipfs/QmazwrXsxjetsf4zXmA2VBN6rAiSSJ9UZkGLYZ9adUxYCh
8,Artistic-Auras #8,"""An abstract depiction of cosmic energy streams converging beneath a radiant celestial orb. Vibrant waves of blue, red, and golden hues flow from the center of the composition, symbolizing the interconnectedness of celestial forces. The central orb, reminiscent of a sun or planetary core, casts light and energy into the surrounding space. The piece evokes movement, creation, and cosmic balance, with organic, flowing forms representing the perpetual flow of energy across the universe.""",8.png,"Blue, Red, Yellow, Gold, Orange",Celestial Orb,Cosmic Energy Streams,"Flowing, Organic Tendrils","Dynamic, Energetic, Mystical","Cosmic Flow, Energy, Creation",Abstract Expressionism,https://gateway.pinata.cloud/ipfs/QmXL6rbv4h7kFjBSCqAkpYMTSqvtVjiLAGTTc31rosxFn1,https://gateway.pinata.cloud/ipfs/QmWB3JN92CZz2tziVBzB9DLop9zLQ76QSpdGdBu2VLVSpG
10,Artistic-Auras #10,"""An abstract visualization of a powerful cosmic vortex, swirling with vibrant energy at the center of the composition. Warm shades of orange and yellow mix with cool blues and grays, creating a dynamic sense of motion. The central vortex appears to pull in celestial bodies, represented by orbs and planetary shapes, into its gravitational whirlpool. The contrasting dark and light elements reflect the balance between chaos and order in the universe. This piece captures the immense power and mystery of galactic phenomena.""",10.png,"Orange, Yellow, Blue, Black, Gray",Galactic Vortex,"Cosmic Swirl, Celestial Orbs","Spiral Energy, Gravitational Pull","Chaotic, Powerful, Mystical","Galactic Energy, Cosmic Balance, Celestial Movement",Abstract Expressionism,https://gateway.pinata.cloud/ipfs/QmeySLQ3Zt5sSfZYvBuxEHvCSQyYAKmD4eYQxDmkGwcBwH,https://gateway.pinata.cloud/ipfs/QmNXVFNYY1fecA1BuuJJ99D6dfS6nrDatwhnVVfRr4QqSQ
14,Artistic-Auras #14,"""An abstract portrayal of cosmic energy and creation, centered around a radiant, sun-like orb. Surrounding the core are swirling waves of dark red and black, alongside clusters of spherical forms that resemble planets or celestial bodies. The flowing energy gives the impression of cosmic forces in motion, with a blend of warmth and mystery. The juxtaposition of light and shadow suggests the birth of new worlds or the flow of energy throughout the universe, blending themes of creation, destruction, and renewal.""",14.png,"Beige, Black, Red, Orange, Yellow",Radiant Core,"Cosmic Spheres, Flowing Energy","Swirling Waves, Orbital Motion","Mystical, Expansive, Cosmic","Creation, Cosmic Flow, Celestial Forces",Abstract Expressionism,https://gateway.pinata.cloud/ipfs/QmXgqYmGioEaGdrsLPtdy4LFR4S8FjR6mKzAQwUANDiFtD,https://gateway.pinata.cloud/ipfs/QmQexkC5uS4SXtyvUPKHpL7tN8cyF7k6p1kM8pngisEgi6
17,Artistic-Auras #17,"""An abstract cosmic landscape featuring dynamic cracks in space, intertwining with celestial bodies and glowing orbs. The composition suggests an energetic disruption in the cosmos, with vibrant red and orange spheres floating amidst black, root-like tendrils that seem to both connect and fracture the space. The use of light and dark creates an energetic contrast, symbolizing the balance between chaos and harmony in the universe. The vibrant hues and bold geometric elements evoke a sense of cosmic evolution and celestial conflict.""",17.png,"Black, White, Red, Orange, Yellow",Celestial Orbs,"Cracked Space, Planetary Spheres","Fractured Energy, Spherical Orbits","Dynamic, Chaotic, Expansive","Cosmic Disruption, Energy Flow, Balance of Forces",Abstract Expressionism,https://gateway.pinata.cloud/ipfs/QmebjdN1iUw6SwDesQb4CyL6gknGk2ytf6FKfvGHCPEp23,https://gateway.pinata.cloud/ipfs/QmYgA6yNsLg1S3FMWs4KGHxkBKZPxh7fw1ua75SackDHGc
19,Artistic-Auras #19,"""An abstract and surreal depiction of a serpent-like form coiling through space and time, surrounded by dynamic energy bursts and celestial elements. The central figure, adorned with sharp, geometric shapes and rich reds and blacks, seems to ripple through the canvas, symbolizing both danger and creation. The composition blends organic and cosmic themes, with cracks of energy radiating outward, intertwining with orbs and geometric forms. The artwork suggests the eternal passage of time and the cyclical nature of existence.""",19.png,"Black, Red, Beige, Orange, Green",Serpent Figure,"Cosmic Orbs, Geometric Shapes","Coiling Serpent, Energy Cracks","Mystical, Powerful, Eternal","Time, Cosmic Forces, Eternal Cycle",Abstract Expressionism,https://gateway.pinata.cloud/ipfs/QmXmi6XMvWcpwucYYxk1kZuMFk75tmPnKDyNdCRySN23vD,https://gateway.pinata.cloud/ipfs/QmbS2ef75Q179XBtaxiaHK3XWPBgRLeDPHFtFCsnjCSBQh
31,Artistic-Auras #31,"""An abstract cosmic composition centered around a radiant orb, symbolizing the convergence of elemental and celestial forces. Encircling the central sun-like figure are symmetrical patterns of fiery petals and glowing orbs, creating a balance between fire, light, and the organic flow of cosmic energy. The artwork is a dynamic fusion of warm oranges, deep blues, and contrasting whites, with branching tendrils extending outward, suggesting both growth and the interconnectedness of cosmic realms. Mysterious symbols and geometric elements enhance the mystical and celestial nature of the piece.""",31.png,"Orange, Yellow, Blue, Black, White",Central Sun,"Fiery Petals, Celestial Orbs, Cosmic Tendrils","Symmetrical Pattern, Radiating Energy","Mystical, Cosmic, Balanced","Cosmic Balance, Elemental Forces, Mysticism","Abstract Expressionism, Surrealism",https://gateway.pinata.cloud/ipfs/QmagsTnfGgCkHrffWozeB6in6EghHBSLZVdEL8FXWJbw95,https://gateway.pinata.cloud/ipfs/QmVHTDyPdKpfuZfYaAmkDvbvBmEqgoot5hFkQzY9AEUEW3
33,Artistic-Auras #33,"""An abstract depiction of the explosive force of creation, represented by a volcanic eruption of vibrant, swirling energy. At the center of the composition, circular forms resembling celestial orbs rise from a dark volcanic base, radiating fiery hues of orange, red, and yellow. The dynamic shapes suggest both creation and destruction, with swirling tendrils of energy flowing upward, symbolizing cosmic cycles and transformation. The contrast between the vibrant energy and the darker, grounding elements reflects the balance of power and calm, creation and dissolution.""",33.png,"Orange, Red, Yellow, Black, Green",Volcanic Core,"Fiery Orbs, Swirling Tendrils","Circular Energy, Erupting Force","Dynamic, Fiery, Transformative","Creation and Destruction, Cosmic Energy, Transformation","Abstract Expressionism, Cosmic Surrealism",https://gateway.pinata.cloud/ipfs/QmTRhUorSZ4GeSjytsSuG2SuiMxDAX6gSoXRsgK6iz3Prx,https://gateway.pinata.cloud/ipfs/QmeLF4mxvkzNQtUv5MchTVNk8eHtD8d5tsrTCDV4Q8GAN6
35,Artistic-Auras #35,"""An abstract and surreal representation of the fusion between cosmic forces and geometric structures. The composition is centered around a radiant orb, with tendrils of energy and branches of dark matter connecting vibrant spherical planets and sharp, crystalline geometric shapes. The swirling energy flows through a palette of fiery oranges and yellows, while cool blues and intricate black lines add contrast and depth. This artwork reflects the balance between chaos and order, the organic and the structured, suggesting the underlying geometry that governs the universe.""",35.png,"Orange, Yellow, Black, Blue",Radiant Orb,"Geometric Shapes, Planets, Cosmic Tendrils","Circular Orbs, Geometric Figures","Dynamic, Structured, Cosmic","Cosmic Geometry, Balance of Chaos and Order, Universal Forces","Abstract Expressionism, Geometric Surrealism",https://gateway.pinata.cloud/ipfs/Qmf2zhNyuDCzg9F6a5JW9rtyYhMTWSfkWj9DDKLkgAmGmR,https://gateway.pinata.cloud/ipfs/QmTK4npTD3b7ZTCB3DJ7uLS4cxrMomLs9KUW7RQBNd7Gy5
39,Artistic-Auras #39,"""An abstract representation of a cosmic peak, with a radiant sun emerging from the summit of a towering mountain. The composition features sharp angular elements and orbs, symbolizing celestial bodies, all converging towards the central sun, which emits dynamic rays of energy. The mountain appears to stretch upward as if channeling the cosmic energy from below to the celestial core above. Earth tones of beige and black blend with fiery oranges and yellows, conveying a sense of unity between the terrestrial and the cosmic. The piece evokes themes of ascension, enlightenment, and the power of the natural world in harmony with the universe.""",39.png,"Beige, Black, Orange, Yellow",Central Sun,"Mountain, Radiating Energy, Celestial Orbs"," Geometric Shapes, Cosmic Rays, Vertical Ascent","Powerful, Majestic, Enlightening","Cosmic Ascension, Connection Between Earth and Sky","Abstract Expressionism, Cosmic Surrealism",https://gateway.pinata.cloud/ipfs/QmcJhazfbZpzJHCPNUrSGnZCkE4s8XWaReQmKWQC4kgaWw,https://gateway.pinata.cloud/ipfs/QmUVTft7N7ZTHZc1unz1KjwYLLeBZdzHprHZKjtF8zR8uc
